t_id	chr	strand	start	end	t_name	num_exons	length	gene_id	gene_name	cov	FPKM 	*
98	2L	+	107761	114432	FBtr0330656	6	2298	FBgn0005278	Sam-S	0.000000	0.000000 	P40320
99	2L	+	107937	114210	FBtr0089432	7	2283	FBgn0005278	Sam-S	4.954450	7.445964 	P40320
100	2L	+	107937	114432	FBtr0089430	7	2380	FBgn0005278	Sam-S	22.786974	34.246181 	P40320
101	2L	+	107937	114432	FBtr0089431	7	2380	FBgn0005278	Sam-S	17.819120	26.780073 	P40320
102	2L	+	108089	114432	FBtr0089433	7	2353	FBgn0005278	Sam-S	49.708302	74.705818 	P40320
103	2L	+	108133	114432	FBtr0089434	7	2429	FBgn0005278	Sam-S	63.226383	95.021927 	P40320
104	2L	+	108133	114432	FBtr0089435	7	2309	FBgn0005278	Sam-S	43.201317	64.926575 	P40320
105	2L	+	109594	114210	FBtr0089436	6	1971	FBgn0005278	Sam-S	0.000000	0.000000 	P40320
106	2L	+	114726	156030	FBtr0306542	3	657	FBgn0031228	CG11455	4.160506	6.252759 	*
107	2L	+	114726	156030	FBtr0330638	3	678	FBgn0031228	CG11455	0.000000	0.000000 	*
108	2L	+	114726	156030	FBtr0330639	3	586	FBgn0031228	CG11455	0.000000	0.000000 	*
109	2L	-	115365	116182	FBtr0336838	1	818	FBgn0031219	CG13694	0.000000	0.000000 	*
110	2L	-	115365	116488	FBtr0078160	1	1124	FBgn0031219	CG13694	0.000000	0.000000 	*
111	2L	-	116970	120631	FBtr0100307	10	2749	FBgn0031220	CG4822	0.000000	0.000000 	*
112	2L	-	117079	120631	FBtr0078157	11	2742	FBgn0031220	CG4822	0.000000	0.000000 	*
113	2L	-	117079	120631	FBtr0100308	9	2885	FBgn0031220	CG4822	0.000000	0.000000 	*
114	2L	-	117079	120631	FBtr0100309	9	2597	FBgn0031220	CG4822	0.000000	0.000000 	*
115	2L	-	117079	120631	FBtr0330646	9	2457	FBgn0031220	CG4822	0.000000	0.000000 	*
116	2L	-	117079	120742	FBtr0078158	10	2656	FBgn0031220	CG4822	0.000000	0.000000 	*
117	2L	-	117079	121754	FBtr0078156	10	2456	FBgn0031220	CG4822	0.000000	0.000000 	*
118	2L	-	117079	121754	FBtr0078159	9	4008	FBgn0031220	CG4822	0.000000	0.000000 	*
119	2L	-	117174	120631	FBtr0100310	9	2505	FBgn0031220	CG4822	0.000000	0.000000 	*
120	2L	-	122624	129245	FBtr0078154	8	2778	FBgn0025683	CG3164	3.135655	4.712526 	*
121	2L	-	122624	129245	FBtr0100379	7	2864	FBgn0025683	CG3164	13.310039	20.003447 	*
122	2L	-	122624	130791	FBtr0078153	9	2759	FBgn0025683	CG3164	0.000000	0.000000 	*
123	2L	-	122624	130791	FBtr0078155	8	2845	FBgn0025683	CG3164	0.650967	0.978328 	*
124	2L	+	122837	124031	FBtr0344032	3	1062	FBgn0266304	CR44969	0.000000	0.000000 	*
125	2L	+	132077	133995	FBtr0300568	2	1699	FBgn0001142	Gs1	157.037704	236.009476 	P20477
126	2L	+	132077	134472	FBtr0078114	2	2176	FBgn0001142	Gs1	2.023694	3.041378 	P20477
127	2L	+	132077	134472	FBtr0078115	1	2396	FBgn0001142	Gs1	2.445062	3.674645 	P20477
128	2L	+	135402	136128	FBtr0336836	1	727	FBgn0265074	CR44185	0.000000	0.000000 	*
129	2L	+	136144	136701	FBtr0336837	2	502	FBgn0265075	CR44186	0.000000	0.000000 	*
130	2L	-	138384	139588	FBtr0346127	4	1014	FBgn0051976	CG31976	0.000000	0.000000 	*
131	2L	-	138384	140992	FBtr0302194	6	2206	FBgn0051976	CG31976	0.000000	0.000000 	*
132	2L	-	138384	140992	FBtr0302196	6	2206	FBgn0051975	CG31975	0.000000	0.000000 	*
133	2L	-	139446	140992	FBtr0302195	3	1335	FBgn0051975	CG31975	0.000000	0.000000 	*
134	2L	-	141077	142572	FBtr0330644	3	1380	FBgn0051974	CG31974	0.000000	0.000000 	*
135	2L	-	141077	143091	FBtr0300987	4	1838	FBgn0051974	CG31974	0.000000	0.000000 	*
136	2L	-	141077	143091	FBtr0330645	3	1908	FBgn0051974	CG31974	0.062893	0.094521 	*
137	2L	+	143323	144227	FBtr0078116	1	905	FBgn0031224	CG11454	20.153591	30.288513 	*
138	2L	-	144231	153300	FBtr0301929	9	5305	FBgn0259818	CG42399	0.417919	0.628084 	*
139	2L	-	144231	153300	FBtr0330643	9	5299	FBgn0259818	CG42399	0.000000	0.000000 	*
140	2L	-	153539	155305	FBtr0078147	2	1699	FBgn0031227	CG3709	10.618599	15.958525 	Q9VPK7
141	2L	+	155089	156030	FBtr0330641	2	869	FBgn0031228	CG11455	3.941951	5.924295 	*
142	2L	+	155089	156030	FBtr0330642	3	798	FBgn0031228	CG11455	0.000000	0.000000 	*
143	2L	+	155335	156030	FBtr0078117	3	486	FBgn0031228	CG11455	39.760990	59.756161 	*
144	2L	+	155335	156030	FBtr0078118	2	623	FBgn0031228	CG11455	3.841429	5.773223 	*
145	2L	+	155335	156030	FBtr0301886	3	568	FBgn0031228	CG11455	0.000000	0.000000 	*
146	2L	+	155335	156030	FBtr0301887	3	507	FBgn0031228	CG11455	0.000000	0.000000 	*
147	2L	+	155335	156030	FBtr0330640	3	415	FBgn0031228	CG11455	0.000000	0.000000 	*
148	2L	+	156029	157666	FBtr0340650	3	1381	FBgn0031229	CG3436	0.118692	0.178380 	*
149	2L	+	156149	157666	FBtr0078119	3	1261	FBgn0031229	CG3436	59.001656	88.672653 	*
150	2L	-	157836	158664	FBtr0091612	2	769	FBgn0053635	CG33635	8.677504	13.041284 	*
151	2L	+	159032	201588	FBtr0078122	12	17880	FBgn0016977	spen	0.000000	0.000000 	Q8SX83
152	2L	+	159032	201588	FBtr0306341	13	17963	FBgn0016977	spen	0.000000	0.000000 	Q8SX83
153	2L	+	159032	201588	FBtr0330652	14	20622	FBgn0016977	spen	0.000000	0.000000 	Q8SX83
154	2L	+	159032	203250	FBtr0332336	14	19571	FBgn0016977	spen	0.000000	0.000000 	Q8SX83
155	2L	+	159032	203397	FBtr0078121	11	19604	FBgn0016977	spen	0.000000	0.000000 	Q8SX83
156	2L	+	182820	201588	FBtr0332337	11	17143	FBgn0016977	spen	25.555059	38.406292 	Q8SX83
157	2L	+	182820	203250	FBtr0078123	10	18859	FBgn0016977	spen	5.135912	7.718680 	Q8SX83
158	2L	+	182820	203250	FBtr0330653	11	18434	FBgn0016977	spen	0.608668	0.914758 	Q8SX83
159	2L	+	203779	204782	FBtr0078124	2	903	FBgn0031231	mRpL10	56.590252	85.048592 	Q9VPL3
160	2L	-	204743	206797	FBtr0308246	4	1290	FBgn0031232	CG11617	0.247406	0.371823 	*
161	2L	-	204743	207297	FBtr0078146	4	1259	FBgn0031232	CG11617	0.000000	0.000000 	*
162	2L	+	207179	210506	FBtr0332338	3	3129	FBgn0031233	Tbc1d15-17	0.013742	0.020653 	*
163	2L	+	207406	210506	FBtr0078125	3	2902	FBgn0031233	Tbc1d15-17	21.793367	32.752907 	*
164	2L	+	207406	210725	FBtr0332339	3	3121	FBgn0031233	Tbc1d15-17	4.371565	6.569956 	*
165	2L	-	210735	221962	FBtr0078145	7	8225	FBgn0266557	kis	6.976077	10.484236 	*
166	2L	-	210735	250823	FBtr0078144	18	17943	FBgn0266557	kis	31.375711	47.154060 	*
167	2L	-	210735	250823	FBtr0299837	17	18528	FBgn0266557	kis	19.874002	29.868324 	*
168	2L	-	210735	250823	FBtr0308253	19	18006	FBgn0266557	kis	0.351752	0.528642 	*
169	2L	-	210735	250823	FBtr0308254	17	17733	FBgn0266557	kis	0.000000	0.000000 	*
170	2L	-	210735	250823	FBtr0308255	17	17731	FBgn0266557	kis	3.789254	5.694809 	*
171	2L	+	219651	220050	FBtr0336984	1	400	FBgn0265151	CR44220	0.000000	0.000000 	*
172	2L	+	223519	224708	FBtr0336985	1	1190	FBgn0265153	CR44222	0.000000	0.000000 	*
173	2L	+	228037	228588	FBtr0336986	1	552	FBgn0265152	CR44221	0.000000	0.000000 	*
174	2L	-	232166	232253	FBtr0309764	1	88	FBgn0263465	snoRNA:kis-a	0.000000	0.000000 	*
175	2L	+	232487	234208	FBtr0078126	2	1660	FBgn0031235	CG13693	0.000000	0.000000 	*
176	2L	-	243035	243141	FBtr0304343	1	107	FBgn0262252	mir-965	0.000000	0.000000 	*
177	2L	-	243055	243076	FBtr0304344	1	22	FBgn0262252	mir-965	0.000000	0.000000 	*
178	2L	+	248909	249812	FBtr0336987	1	904	FBgn0265149	CR44218	0.037611	0.056525 	*
179	2L	-	251039	252373	FBtr0336990	5	1105	FBgn0022246	Rpp30	0.131213	0.197198 	*
180	2L	-	251163	252373	FBtr0078143	5	981	FBgn0022246	Rpp30	4.459745	6.702480 	*
181	2L	-	252589	254750	FBtr0336989	5	1799	FBgn0031238	CG3645	0.000000	0.000000 	*
182	2L	-	252589	271744	FBtr0078140	5	1726	FBgn0031238	CG3645	12.122827	18.219204 	*
183	2L	-	252589	271744	FBtr0078141	5	1753	FBgn0031238	CG3645	0.000000	0.000000 	*
184	2L	-	259949	267505	FBtr0308252	1	7557	FBgn0031239	CG17075	0.000000	0.000000 	*
185	2L	+	262203	263003	FBtr0336988	2	754	FBgn0265150	CR44219	0.000000	0.000000 	*
186	2L	-	263466	267505	FBtr0078142	1	4040	FBgn0031239	CG17075	0.000000	0.000000 	*
187	2L	+	269088	271626	FBtr0078127	3	2417	FBgn0031240	CG3345	0.000000	0.000000 	*
188	2L	-	271912	273715	FBtr0078139	2	1756	FBgn0086912	mbm	63.476078	95.397186 	Q9VPM5
189	2L	+	273836	274694	FBtr0343777	1	859	FBgn0086856	CG11555	0.000000	0.000000 	*
190	2L	+	273937	274766	FBtr0078128	1	830	FBgn0086856	CG11555	46.895180	70.478020 	*
191	2L	-	274740	277212	FBtr0300804	4	2110	FBgn0086855	CG17078	17.681686	26.573526 	*
192	2L	-	274740	277212	FBtr0330648	4	2104	FBgn0086855	CG17078	0.000000	0.000000 	*
193	2L	-	274740	277212	FBtr0330649	4	2095	FBgn0086855	CG17078	0.000000	0.000000 	*
194	2L	-	274740	278234	FBtr0330650	4	3132	FBgn0086855	CG17078	0.959016	1.441290 	*
195	2L	+	277582	282167	FBtr0078129	6	4008	FBgn0003444	smo	25.861240	38.866447 	P91682
196	2L	-	281670	283195	FBtr0343780	2	1378	FBgn0031244	CG11601	11.307073	16.993219 	*
197	2L	-	281971	283195	FBtr0343779	2	1077	FBgn0031244	CG11601	0.000000	0.000000 	*
198	2L	-	281971	283269	FBtr0078137	2	1151	FBgn0031244	CG11601	0.000000	0.000000 	*
199	2L	-	283385	285726	FBtr0078136	3	1341	FBgn0031245	CG3625	7.394482	11.113050 	*
200	2L	-	283385	291795	FBtr0113009	4	1455	FBgn0031245	CG3625	0.000000	0.000000 	*
201	2L	-	283385	291795	FBtr0343778	4	1401	FBgn0031245	CG3625	0.000000	0.000000 	*
202	2L	-	283662	286531	FBtr0078135	3	995	FBgn0031245	CG3625	0.000000	0.000000 	*
203	2L	-	287252	288932	FBtr0078134	1	1681	FBgn0025686	Amnionless	0.000000	0.000000 	Q9VPN2
204	2L	-	287252	289144	FBtr0330647	1	1893	FBgn0025686	Amnionless	0.000000	0.000000 	Q9VPN2
205	2L	+	292419	293222	FBtr0078130	2	748	FBgn0031247	CG11562	31.594856	47.483410 	*
206	2L	-	292959	294681	FBtr0333408	2	1655	FBgn0017457	U2af38	0.710479	1.067768 	Q94535
207	2L	-	293353	294681	FBtr0078133	2	1261	FBgn0017457	U2af38	82.120872	123.418159 	Q94535
208	2L	+	295122	297449	FBtr0078131	4	2023	FBgn0024352	Hop	150.309952	225.898438 	*
209	2L	+	297880	303934	FBtr0331205	3	3319	FBgn0020622	Pi3K21B	27.485079	41.306889 	*
210	2L	+	297880	305233	FBtr0331208	3	4618	FBgn0020622	Pi3K21B	0.803770	1.207973 	*
211	2L	+	301706	305233	FBtr0331206	1	3528	FBgn0020622	Pi3K21B	0.603517	0.907016 	*
212	2L	+	301706	305233	FBtr0331207	2	3447	FBgn0020622	Pi3K21B	0.000000	0.000000 	*
213	2L	+	305935	346255	FBtr0078047	17	5486	FBgn0004611	Plc21C	8.379702	12.593720 	P25455
214	2L	+	305935	346255	FBtr0330673	16	5300	FBgn0004611	Plc21C	9.885758	14.857150 	P25455
215	2L	+	305935	355566	FBtr0078049	18	7347	FBgn0004611	Plc21C	0.000838	0.001259 	P25455
216	2L	-	308537	309348	FBtr0329830	2	658	FBgn0263872	CR43719	0.000000	0.000000 	*
217	2L	-	308537	309348	FBtr0344144	1	812	FBgn0263872	CR43719	0.000000	0.000000 	*
218	2L	+	310200	346255	FBtr0330674	17	5419	FBgn0004611	Plc21C	0.000000	0.000000 	P25455
219	2L	+	310200	346541	FBtr0078048	17	5723	FBgn0004611	Plc21C	0.000000	0.000000 	P25455
220	2L	+	310200	347927	FBtr0078050	17	7127	FBgn0004611	Plc21C	0.000000	0.000000 	P25455
221	2L	-	318362	319259	FBtr0078099	1	898	FBgn0031248	CG11912	0.000000	0.000000 	*
222	2L	-	320279	321248	FBtr0078098	1	970	FBgn0031249	CG11911	0.000000	0.000000 	*
223	2L	+	322101	323091	FBtr0078052	1	991	FBgn0053127	CG33127	0.000000	0.000000 	*
224	2L	-	325522	329761	FBtr0330695	2	1709	FBgn0264086	CG43755	0.065535	0.098492 	*
225	2L	-	327429	329761	FBtr0330696	1	2333	FBgn0264086	CG43755	0.000000	0.000000 	*
226	2L	-	329910	332335	FBtr0078096	1	2426	FBgn0051921	CG31921	0.000000	0.000000 	*
227	2L	-	355565	357874	FBtr0078094	4	1972	FBgn0031250	Ent1	19.406694	29.166014 	*
228	2L	-	355565	357874	FBtr0078095	5	1923	FBgn0031250	Ent1	0.000000	0.000000 	*
229	2L	-	355565	357874	FBtr0330651	5	1905	FBgn0031250	Ent1	0.000000	0.000000 	*
230	2L	+	355663	356891	FBtr0345774	1	1229	FBgn0266907	CR45367	0.000000	0.000000 	*
231	2L	+	357329	358174	FBtr0345775	1	846	FBgn0266906	CR45366	0.000000	0.000000 	*
232	2L	+	378112	387439	FBtr0078053	5	1806	FBgn0000061	al	0.000000	0.000000 	Q06453
233	2L	+	396120	396571	FBtr0329831	1	452	FBgn0263871	CR43718	0.000000	0.000000 	*
234	2L	-	396595	402054	FBtr0331204	5	4292	FBgn0031251	CG4213	0.000000	0.000000 	*
235	2L	-	396595	402198	FBtr0078093	5	4436	FBgn0031251	CG4213	0.000000	0.000000 	*
236	2L	+	404285	407969	FBtr0078054	3	3564	FBgn0003278	RpI135	11.448092	17.205156 	P20028
237	2L	-	408030	414777	FBtr0089488	9	4711	FBgn0264855	AP-2alpha	60.463806	90.870094 	P91926
238	2L	-	408876	412885	FBtr0089489	8	3432	FBgn0264855	AP-2alpha	0.008450	0.012699 	P91926
239	2L	+	415067	418536	FBtr0078055	3	3327	FBgn0263933	ebi	80.964226	121.679848 	Q95RJ9
240	2L	-	418434	419652	FBtr0078090	1	1219	FBgn0031252	CG13690	44.666939	67.129234 	Q9VPP5
241	2L	+	419952	420697	FBtr0078056	2	601	FBgn0002593	RpLP1	1137.695190	1709.823975 	P08570
242	2L	+	419952	420864	FBtr0331932	2	768	FBgn0002593	RpLP1	0.845354	1.270469 	P08570
243	2L	-	420895	421450	FBtr0078089	1	556	FBgn0031253	CG11885	26.580935	39.948067 	*
244	2L	+	421771	422489	FBtr0078057	2	665	FBgn0031254	CG13692	0.000000	0.000000 	*
245	2L	+	422873	425321	FBtr0078058	4	2259	FBgn0031255	BBS8	0.000000	0.000000 	*
246	2L	+	431227	448701	FBtr0078059	6	6672	FBgn0004583	ex	0.597122	0.897405 	Q07436
247	2L	+	431227	448701	FBtr0329832	6	6454	FBgn0004583	ex	0.000000	0.000000 	Q07436
248	2L	+	439539	440104	FBtr0329833	1	566	FBgn0263870	CR43717	0.000000	0.000000 	*
249	2L	-	448254	453024	FBtr0078087	5	2775	FBgn0015924	crq	48.391338	72.726578 	Q27367
250	2L	-	448254	453024	FBtr0331233	6	2714	FBgn0015924	crq	2.506879	3.767549 	Q27367
251	2L	-	448716	451302	FBtr0304741	5	1938	FBgn0015924	crq	0.000000	0.000000 	Q27367
252	2L	-	448716	452752	FBtr0331232	5	2041	FBgn0015924	crq	19.887455	29.888540 	Q27367
253	2L	-	448716	453024	FBtr0078088	6	2063	FBgn0015924	crq	0.000000	0.000000 	Q27367
254	2L	+	453108	454654	FBtr0078060	2	1488	FBgn0031256	CG4164	42.120071	63.301590 	Q9VPQ2
255	2L	+	454754	455313	FBtr0305350	2	501	FBgn0262510	CR43080	19.636061	29.510723 	*
256	2L	+	455531	458745	FBtr0078061	7	2629	FBgn0031257	CG4133	0.000000	0.000000 	*
257	2L	+	455531	458745	FBtr0331230	8	2554	FBgn0031257	CG4133	0.000000	0.000000 	*
258	2L	+	455531	458745	FBtr0331231	7	2642	FBgn0031257	CG4133	0.060560	0.091015 	*
259	2L	-	458876	471555	FBtr0310035	2	6224	FBgn0031258	CG4297	0.000000	0.000000 	*
260	2L	-	458876	472200	FBtr0310034	2	6869	FBgn0031258	CG4297	0.098995	0.148778 	*
261	2L	+	473013	476170	FBtr0078062	7	2592	FBgn0027592	MED15	35.355297	53.134914 	Q9Y149
